evaluation_period,trade_number,side,signal_date,entry_date,entry_price,atr14_on_signal,stop_price,target_price,exit_date,exit_price,exit_reason,units_eur,risk_usd,pnl_usd,r_multiple,duration_sessions,balance_before,balance_after
full_history,15,SHORT,2005-07-01,2005-07-04,1.19119942,0.01121922,1.20802825,1.15754177,2005-07-11,1.20802825,stop,617.48838174,10.39160397,-10.39160397,-1.00000000,6,1039.16039744,1028.76879347
full_history,16,LONG,2005-09-01,2005-09-02,1.24900079,0.01025768,1.23361427,1.27977382,2005-09-12,1.23361427,stop,668.61718879,10.28768793,-10.28768793,-1.00000000,7,1028.76879347,1018.48110553
full_history,17,SHORT,2005-09-23,2005-09-26,1.20260251,0.01002898,1.21764598,1.17251555,2005-10-06,1.21764598,stop,677.02505709,10.18481106,-10.18481106,-1.00000000,9,1018.48110553,1008.29629448
full_history,18,SHORT,2005-11-04,2005-11-07,1.18069327,0.01108294,1.19731768,1.14744444,2005-12-12,1.19731768,stop,606.51543681,10.08296294,-10.08296294,-1.00000000,26,1008.29629448,998.21333153
full_history,19,LONG,2006-01-06,2006-01-09,1.21400476,0.00949655,1.19975993,1.24249441,2006-02-03,1.19975993,stop,700.75503463,9.98213332,-9.98213332,-1.00000000,20,998.21333153,988.23119822
full_history,20,SHORT,2006-02-27,2006-02-28,1.18490434,0.00718724,1.19568519,1.16334263,2006-03-01,1.19568519,stop,916.65376521,9.88231198,-9.88231198,-1.00000000,2,988.23119822,978.34888623
full_history,21,LONG,2006-03-16,2006-03-17,1.21759665,0.00809283,1.20545741,1.24187514,2006-03-23,1.20545741,stop,805.93883970,9.78348886,-9.78348886,-1.00000000,5,978.34888623,968.56539737
full_history,22,LONG,2006-04-04,2006-04-05,1.22610617,0.00895048,1.21268044,1.25295761,2006-04-07,1.21268044,stop,721.42508776,9.68565397,-9.68565397,-1.00000000,3,968.56539737,958.87974340
full_history,23,LONG,2006-04-18,2006-04-19,1.23670542,0.00913666,1.22300043,1.26411540,2006-05-01,1.26411540,target,699.65737856,9.58879743,19.17759487,2.00000000,9,958.87974340,978.05733827
full_history,24,LONG,2006-05-04,2006-05-05,1.27019608,0.00968019,1.25567580,1.29923664,2006-06-13,1.25567580,stop,673.58018717,9.78057338,-9.78057338,-1.00000000,28,978.05733827,968.27676488
full_history,25,LONG,2006-08-04,2006-08-07,1.28839409,0.00919592,1.27460021,1.31598186,2006-08-11,1.27460021,stop,701.96109256,9.68276765,-9.68276765,-1.00000000,5,968.27676488,958.59399723
full_history,26,SHORT,2006-10-06,2006-10-09,1.25909698,0.00740548,1.27020520,1.23688054,2006-10-27,1.27020520,stop,862.95902859,9.58593997,-9.58593997,-1.00000000,15,958.59399723,949.00805726
full_history,27,LONG,2006-11-09,2006-11-10,1.28369713,0.00689833,1.27334963,1.30439213,2006-11-24,1.30439213,target,917.13747245,9.49008057,18.98016115,2.00000000,11,949.00805726,967.98821841
full_history,28,LONG,2006-11-24,2006-11-27,1.31580687,0.00787897,1.30398841,1.33944377,2006-12-08,1.33944377,target,819.04810710,9.67988218,19.35976437,2.00000000,10,967.98821841,987.34798277
full_history,29,LONG,2006-12-08,2006-12-11,1.31839156,0.00900940,1.30487746,1.34541977,2007-01-05,1.30487746,stop,730.60559431,9.87347983,-9.87347983,-1.00000000,20,987.34798277,977.47450295
full_history,30,LONG,2007-02-14,2007-02-15,1.31390512,0.00763985,1.30244534,1.33682467,2007-03-21,1.33682467,target,852.96128036,9.77474503,19.54949006,2.00000000,25,977.47450295,997.02399301
full_history,31,LONG,2007-03-21,2007-03-22,1.33999753,0.00699598,1.32950356,1.36098546,2007-03-23,1.32950356,stop,950.09266108,9.97023993,-9.97023993,-1.00000000,2,997.02399301,987.05375308
full_history,32,LONG,2007-04-05,2007-04-06,1.34320128,0.00677924,1.33303242,1.36353899,2007-04-20,1.36353899,target,970.66340376,9.87053753,19.74107506,2.00000000,11,987.05375308,1006.79482814
full_history,33,LONG,2007-07-02,2007-07-03,1.36319649,0.00615025,1.35397112,1.38164724,2007-07-18,1.38164724,target,1091.33249754,10.06794828,20.13589656,2.00000000,12,1006.79482814,1026.93072470
full_history,34,LONG,2007-07-20,2007-07-23,1.38360429,0.00577686,1.37493900,1.40093486,2007-07-25,1.37493900,stop,1185.10906909,10.26930725,-10.26930725,-1.00000000,3,1026.93072470,1016.66141745
full_history,35,LONG,2007-09-07,2007-09-11,1.38089120,0.00849716,1.36814547,1.40638267,2007-09-20,1.40638267,target,797.64837107,10.16661417,20.33322835,2.00000000,8,1016.66141745,1036.99464580
full_history,36,LONG,2007-09-20,2007-09-21,1.40769720,0.00834800,1.39517521,1.43274119,2007-10-22,1.43274119,target_gap,828.13851552,10.36994646,20.73989292,2.00000000,22,1036.99464580,1057.73453872
full_history,37,LONG,2007-10-26,2007-10-29,1.44079757,0.00906948,1.42719335,1.46800600,2007-11-07,1.46800600,target,777.50488419,10.57734539,21.15469077,2.00000000,8,1057.73453872,1078.88922949
full_history,38,LONG,2007-11-07,2007-11-08,1.46250153,0.00904472,1.44893444,1.48963569,2007-11-23,1.48963569,target,795.22572602,10.78889229,21.57778459,2.00000000,12,1078.88922949,1100.46701408
full_history,39,LONG,2008-01-08,2008-01-09,1.47069633,0.01649150,1.44595908,1.52017083,2008-01-21,1.44595908,stop,444.86230286,11.00467014,-11.00467014,-1.00000000,9,1100.46701408,1089.46234394
full_history,40,LONG,2008-02-08,2008-02-11,1.45319271,0.02201344,1.42017255,1.51923304,2008-02-28,1.51923304,target,329.93849572,10.89462344,21.78924688,2.00000000,14,1089.46234394,1111.25159082
full_history,41,LONG,2008-03-12,2008-03-13,1.55419481,0.01566794,1.53069289,1.60119864,2008-04-22,1.60119864,target,472.83451654,11.11251591,22.22503182,2.00000000,28,1111.25159082,1133.47662264
full_history,42,LONG,2008-04-22,2008-04-23,1.59818447,0.01744873,1.57201137,1.65053066,2008-04-24,1.57201137,stop,433.06931999,11.33476623,-11.33476623,-1.00000000,2,1133.47662264,1122.14185641
full_history,43,LONG,2008-07-02,2008-07-03,1.58800745,0.01336086,1.56796615,1.62809004,2008-07-04,1.56796615,stop,559.91479400,11.22141856,-11.22141856,-1.00000000,2,1122.14185641,1110.92043785
full_history,44,LONG,2008-07-11,2008-07-14,1.59149504,0.01679824,1.56629767,1.64188976,2008-07-24,1.56629767,stop,440.88758070,11.10920438,-11.10920438,-1.00000000,9,1110.92043785,1099.81123347
full_history,45,SHORT,2008-08-08,2008-08-26,1.46190274,0.01676244,1.48704639,1.41161543,2008-09-08,1.50489092,gap_through_stop,437.41108394,10.99811233,-18.80350690,-1.70970311,10,1099.81123347,1081.00772657
full_history,46,LONG,2009-05-08,2009-05-11,1.36239779,0.01837735,1.33483177,1.41752983,2009-06-01,1.41752983,target,392.15229948,10.81007727,21.62015453,2.00000000,16,1081.00772657,1102.62788110
full_history,47,LONG,2009-06-02,2009-06-03,1.43073797,0.01733404,1.40473691,1.48274010,2009-06-05,1.40473691,stop,424.07032217,11.02627881,-11.02627881,-1.00000000,3,1102.62788110,1091.60160229
full_history,48,LONG,2009-07-20,2009-07-21,1.42176723,0.01449277,1.40002807,1.46524556,2009-09-15,1.46524556,target_gap,502.13601323,10.91601602,21.83203205,2.00000000,41,1091.60160229,1113.43363434
full_history,49,LONG,2009-09-15,2009-09-16,1.47080457,0.00651477,1.46103242,1.49034888,2009-09-29,1.45889556,gap_through_stop,1139.39436154,11.13433634,-13.56905660,-1.21866775,10,1113.43363434,1099.86457774
full_history,50,LONG,2009-10-13,2009-10-14,1.49300516,0.00663061,1.48305925,1.51289698,2009-10-27,1.48305925,stop,1105.84603138,10.99864578,-10.99864578,-1.00000000,10,1099.86457774,1088.86593196
full_history,51,LONG,2009-11-25,2009-11-26,1.51260757,0.01234520,1.49408977,1.54964318,2009-11-27,1.49408977,stop,588.01025595,10.88865932,-10.88865932,-1.00000000,2,1088.86593196,1077.97727264
full_history,52,SHORT,2009-12-17,2009-12-18,1.43459678,0.01350941,1.45486089,1.39406856,2010-01-11,1.45486089,stop,531.96380793,10.77977273,-10.77977273,-1.00000000,17,1077.97727264,1067.19749992
full_history,53,SHORT,2010-01-20,2010-01-21,1.41111398,0.01288816,1.43044621,1.37244950,2010-02-04,1.37244950,target,552.03000082,10.67197500,21.34395000,2.00000000,11,1067.19749992,1088.54144991
full_history,54,SHORT,2010-02-04,2010-02-05,1.37447596,0.01206323,1.39257080,1.33828627,2010-03-24,1.33828627,target,601.57547993,10.88541450,21.77082900,2.00000000,34,1088.54144991,1110.31227891
full_history,55,SHORT,2010-03-24,2010-03-25,1.33299565,0.01272120,1.35207745,1.29483207,2010-03-30,1.35207745,stop,581.86996567,11.10312279,-11.10312279,-1.00000000,4,1110.31227891,1099.20915612
full_history,56,SHORT,2010-04-27,2010-04-28,1.31729746,0.01302665,1.33683743,1.27821751,2010-05-06,1.27821751,target,562.54381556,10.99209156,21.98418312,2.00000000,7,1099.20915612,1121.19333925
full_history,57,SHORT,2010-05-06,2010-05-07,1.26284957,0.01554159,1.28616196,1.21622479,2010-05-10,1.28789639,gap_through_stop,480.94310591,11.21193339,-12.04609801,-1.07439971,2,1121.19333925,1109.14724124
full_history,58,SHORT,2010-05-14,2010-05-17,1.23722565,0.01726228,1.26311907,1.18543882,2010-05-21,1.26311907,stop,428.35110891,11.09147241,-11.09147241,-1.00000000,5,1109.14724124,1098.05576883
full_history,59,LONG,2010-07-29,2010-07-30,1.30765116,0.01334402,1.28763514,1.34768321,2010-08-11,1.28763514,stop,548.58835207,10.98055769,-10.98055769,-1.00000000,9,1098.05576883,1087.07521114
full_history,60,LONG,2010-09-22,2010-09-23,1.33922589,0.01615816,1.31498865,1.38770036,2010-10-06,1.38770036,target,448.51456081,10.87075211,21.74150422,2.00000000,10,1087.07521114,1108.81671536
full_history,61,SHORT,2011-01-07,2011-01-10,1.28980672,0.01714525,1.31552460,1.23837097,2011-01-13,1.31552460,stop,431.14630742,11.08816715,-11.08816715,-1.00000000,4,1108.81671536,1097.72854821
